variable,question,Touchpoint,Construct,Dashboard Role
T_C1B_36,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - kompetitor,Brand Image,Other,Other
T_C1B_39,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - kompetitor,Brand Image,Other,Other
T_C1B_42,Bank yang membuat saya merasa prestigious/bergengsi - kompetitor,Brand Image,Other,Other
T_C1B_45,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - kompetitor,Brand Image,Other,Other
T_C1B_48,Bank yang mempermudah bisnis saya - kompetitor,Brand Image,Other,Other
T_C1B_51,Bank yang memberikan banyak kemudahan - kompetitor,Brand Image,Other,Other
T_C1B_54,Bank yang memiliki kinerja bisnis yang baik - kompetitor,Brand Image,Other,Other
T_C1B_57,Bank yang selalu menggunakan teknologi terbaru - kompetitor,Brand Image,Other,Other
T_C1B_60,Bank yang dimiliki oleh negara - kompetitor,Brand Image,Other,Other
T_C1B_63,Bank swasta terbesar di Indonesia - kompetitor,Brand Image,Other,Other
T_C1B_66,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - kompetitor",Brand Image,Other,Other
T_C1B_69,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - kompetitor",Brand Image,Other,Other
T_C1B_72,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor,Brand Image,Other,Other
D1,Jenis layanan Teller/Customer Service (CS) yang saat ini baru selesai dialami adalah:,,Usage,Other
S_D1_17,Others.9,,Other,Other
S_D1_18,Others.10,,Other,Other
S_D1_19,Others.11,,Other,Other
D2,Apakah Bapak/Ibu sudah menggunakan e-form (formulir elektronik) untuk pembukaan rekening baru?,,Usage,Other
D3,Mengapa Bapak / Ibu tidak menggunakan e-form (formulir elektronik) untuk pembukaan rekening?,,Usage,Other
D4,Apakah Bapak/Ibu mengetahui perihal adanya e-form (formulir elektronik) untuk pembukaan rekening baru?,,Usage,Other
D5,"Ketika anda berkunjung ke {0}, dengan staf siapa Anda pernah/sering bertemu atau berinteraksi di {0} tersebut?",,Usage,Other
PANEL,PANEL TRANSAKSI,,Other,Other
T_KC1_1,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_2,Menyediakan layanan weekend banking,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_3,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_4,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_5,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_6,"Petunjuk arah parkir untuk nasabah  yang jelas dan bersih (petunjuk arah, tanda-tanda seperti â€œarea parkir mobilâ€, â€œarea parkir motorâ€",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_7,Kebersihan di area parkir,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_8,Kebersihan pada area masuk cabang,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_9,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_10,Tersedia tempat duduk yang cukup di ruang tunggu,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_11,Pendingin ruangan di ruang tunggu sejuk,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_12,Ruang tunggu nyaman,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_13,Disediakan Wifi gratis di ruang tunggu,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_14,Tersedia TV di ruang tunggu,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_15,Area ruang tunggunya wangi,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_16,Diputarkan lagu lembut yang mengalun di area banking hall,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_17,Banking hall/area ruang tunggunya bersih,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_18,Terdapat tempat sampah dan mudah ditemukan,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_19,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_20,"Area ruang Tertata dengan baik, rapi dan teratur",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_21,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_22,Terdapat tanaman hidup,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_23,Tersedianya ruang laktasi,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_24,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_25,Terdapat petunjuk arah ke toilet,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_26,Terdapat toilet di cabang,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_27,Toilet bersih,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_28,Toilet selalu harum dan tidak bau,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_29,Tersedia wastafel di area toilet,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_30,Selalu tersedia tisu di toilet,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_31,Selalu tersedia sabun pencuci tangan di toilet,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_32,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_33,Toilet selalu berfungsi dengan baik,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_34,Terdapat tempat sampah di toilet dan mudah ditemukan,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC1_35,Tempat sampah tidak penuh,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_2,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_5,Menyediakan layanan weekend banking - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_8,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - XYZ",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_11,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_14,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_17,"Petunjuk arah parkir untuk nasabah  yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - XYZ",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_20,Kebersihan di area parkir - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_23,Kebersihan pada area masuk cabang - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_26,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - XYZ",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_29,Tersedia tempat duduk yang cukup di ruang tunggu - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_32,Pendingin ruangan di ruang tunggu sejuk  - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_35,Ruang tunggu nyaman - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_38,Disediakan Wifi gratis di ruang tunggu - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_41,Tersedia TV di ruang tunggu - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_44,Area ruang tunggunya wangi - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_47,Diputarkan lagu lembut yang mengalun di area banking hall - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_50,Banking hall/area ruang tunggunya bersih - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_53,Terdapat tempat sampah dan mudah ditemukan - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_56,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - XYZ",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_59,"Area ruang Tertata dengan baik, rapi dan teratur - XYZ",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_62,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_65,Terdapat tanaman hidup - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_68,Tersedianya ruang laktasi  - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_71,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_74,Terdapat petunjuk arah ke toilet - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_77,Terdapat toilet di cabang - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_80,Toilet bersih - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_83,Toilet selalu harum dan tidak bau - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_86,Tersedia wastafel di area toilet - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_89,Selalu tersedia tisu di toilet - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_92,Selalu tersedia sabun pencuci tangan di toilet - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_95,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_98,Toilet selalu berfungsi dengan baik - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_101,Terdapat tempat sampah di toilet dan mudah ditemukan - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_104,Tempat sampah tidak penuh - XYZ,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_107,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - XYZ",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_110,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - XYZ",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_113,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - XYZ",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_116,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - XYZ",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_3,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_6,Menyediakan layanan weekend banking - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_9,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - kompetitor",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_12,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_15,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_18,"Petunjuk arah parkir untuk nasabah  yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - kompetitor",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_21,Kebersihan di area parkir - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_24,Kebersihan pada area masuk cabang - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_27,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - kompetitor",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_30,Tersedia tempat duduk yang cukup di ruang tunggu - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_33,Pendingin ruangan di ruang tunggu sejuk  - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_36,Ruang tunggu nyaman - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_39,Disediakan Wifi gratis di ruang tunggu - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_42,Tersedia TV di ruang tunggu - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_45,Area ruang tunggunya wangi - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_48,Diputarkan lagu lembut yang mengalun di area banking hall - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_51,Banking hall/area ruang tunggunya bersih - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_54,Terdapat tempat sampah dan mudah ditemukan - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_57,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - kompetitor",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_60,"Area ruang Tertata dengan baik, rapi dan teratur - kompetitor",Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_63,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_66,Terdapat tanaman hidup - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_69,Tersedianya ruang laktasi  - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_72,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_75,Terdapat petunjuk arah ke toilet - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_78,Terdapat toilet di cabang - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_81,Toilet bersih - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_84,Toilet selalu harum dan tidak bau - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_87,Tersedia wastafel di area toilet - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_90,Selalu tersedia tisu di toilet - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_93,Selalu tersedia sabun pencuci tangan di toilet - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_96,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_99,Toilet selalu berfungsi dengan baik - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_102,Terdapat tempat sampah di toilet dan mudah ditemukan - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_105,Tempat sampah tidak penuh - kompetitor,Branch Facilities,Attribute Satisfaction,Drilldown
T_KC2_108,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - kompetitor",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_111,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - kompetitor",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_114,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - kompetitor",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_KC2_117,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - kompetitor",Branch Facilities,Overall Touchpoint Satisfaction,KPI
T_SC1_1,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk)",Security,Attribute Satisfaction,Drilldown
T_SC1_2,Penampilannya rapi,Security,Attribute Satisfaction,Drilldown
T_SC1_3,Menggunakan seragam sekuriti yang lengkap,Security,Attribute Satisfaction,Drilldown
T_SC1_4,Menyambut nasabah dengan ramah,Security,Attribute Satisfaction,Drilldown
T_SC1_5,Berperilaku sopan,Security,Attribute Satisfaction,Drilldown
T_SC1_6,Mengucapkan salam saat nasabah datang/pulang,Security,Attribute Satisfaction,Drilldown
T_SC1_7,Menawarkan bantuan saat nasabah datang,Security,Attribute Satisfaction,Drilldown
T_SC1_8,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi,Security,Attribute Satisfaction,Drilldown
T_SC1_9,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah,Security,Attribute Satisfaction,Drilldown
T_SC1_10,Memberikan nomor antrian kepada nasabah,Security,Attribute Satisfaction,Drilldown
T_SC1_11,Mengatur antrian nasabah,Security,Attribute Satisfaction,Drilldown
T_SC1_12,Mengucapkan terima kasih saat nasabah pulang,Security,Attribute Satisfaction,Drilldown
T_SC1_13,Jumlah sekuriti memadai,Security,Attribute Satisfaction,Drilldown
T_SC1_14,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP),Security,Attribute Satisfaction,Drilldown
T_SC1_15,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga,Security,Attribute Satisfaction,Drilldown
T_SC2_2,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - XYZ",Security,Attribute Satisfaction,Drilldown
T_SC2_5,Penampilannya rapi - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_8,Menggunakan seragam sekuriti yang lengkap - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_11,Menyambut nasabah dengan ramah - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_14,Berperilaku sopan - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_17,Mengucapkan salam saat nasabah datang/pulang - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_20,Menawarkan bantuan saat nasabah datang - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_23,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - XYZ,Security,Attribute Satisfaction,Drilldown
